variavel: Residencial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Residencial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades;MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;ibge;latitude;longitude;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Cândido Godói;4304309;-27,9515;-54,7517;1.742;936;970;997;1.088;1.067;1.123;1.103;1.086;1.167;1.095;1.098;1.155;1.185;1.219;1.233;1.251;1.266;1.309;1.471;1.520;1.708;1.796;2.066;2.010;2.198;2.296;2.408
Candiota;4304358;-31,5515;-53,6773;-;-;1.858;2.606;2.885;3.150;3.487;3.451;3.592;3.589;3.420;3.354;3.253;3.226;3.277;3.355;3.614;3.838;4.176;4.557;4.462;4.736;5.157;5.822;5.447;5.754;6.481;6.836
Canela;4304408;-29,356;-50,8119;10.303;10.235;10.985;11.824;13.477;14.486;16.148;17.235;18.325;19.451;19.085;19.777;20.086;20.389;21.075;21.314;22.622;25.085;26.082;27.796;28.968;31.186;34.487;37.464;37.746;40.887;41.978;45.015
Canguçu;4304507;-31,396;-52,6782;4.415;4.487;4.782;4.968;5.535;6.163;6.629;6.868;7.092;7.559;7.520;7.846;7.913;7.973;8.368;8.478;9.351;9.972;10.895;11.954;12.856;13.744;14.956;16.008;15.564;15.918;16.492;16.829
Canoas;4304606;-29,9128;-51,1857;131.773;132.335;132.488;135.867;150.549;160.570;171.939;176.930;183.775;194.961;192.810;193.994;195.635;198.118;205.373;210.295;226.627;235.085;246.218;258.839;269.033;289.937;300.179;336.743;311.136;316.067;315.968;320.079
Capão Bonito do Sul;4304622;-29,7642;-50,0282;-;-;-;-;-;-;-;-;-;-;118;110;207;205;218;265;288;301;304;356;348;426;518;612;617;593;652;648
Capão da Canoa;4304630;-29,6397;-49,9599;24.536;26.341;16.200;20.759;23.785;26.236;28.958;32.337;33.866;34.960;36.241;38.367;39.704;40.769;41.806;44.026;46.871;49.078;52.942;56.802;59.327;61.414;65.137;71.491;70.917;71.327;74.957;76.032
Capão do Cipó;4304655;-28,904;-54,7;-;-;-;-;-;-;-;-;-;-;-;29;315;384;356;309;325;340;382;372;424;457;498;572;623;630;706;766
Capão do Leão;4304663;-31,7565;-52,4889;3.972;4.276;4.814;5.100;5.860;6.749;7.233;7.552;7.826;8.177;8.107;7.919;7.865;7.928;8.199;8.493;9.132;9.487;9.859;11.069;12.586;13.759;14.892;16.374;16.017;16.338;16.782;17.322
Capela de Santana;4304689;-29,6961;-51,328;2.074;2.226;2.387;2.579;2.804;3.139;3.690;3.699;3.764;3.871;4.091;4.232;4.280;4.685;4.904;4.851;5.239;5.307;5.542;5.667;6.132;6.843;7.350;8.218;7.860;7.987;8.157;8.333
Capitão;4304697;-29,2674;-51,9853;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;8;6;6;2;6;5;7;8;12;16;21;22
Capivari do Sul;4304671;-30,1382;-50,5151;-;-;-;-;-;-;715;1.401;1.509;1.572;1.573;1.630;1.663;1.732;1.798;1.847;2.005;2.034;2.140;2.291;2.465;2.543;2.796;3.009;2.989;3.022;3.204;3.172
Caraá;4304713;-29,7869;-50,4316;-;-;-;-;-;-;348;545;546;610;568;657;675;692;754;808;952;1.040;1.148;1.313;1.485;1.596;1.782;1.979;1.864;1.831;2.020;1.992
Carazinho;4304705;-28,2958;-52,7933;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;-;-;0;0;0
Carlos Barbosa;4304804;-29,2969;-51,5029;5.131;5.411;5.821;6.396;7.419;8.207;9.006;9.483;10.095;10.567;9.895;9.768;10.142;10.502;10.884;11.329;12.073;13.354;14.906;15.495;16.424;17.149;18.688;20.408;20.346;21.752;22.195;23.487
Carlos Gomes;4304853;-27,7167;-51,9121;-;-;51;66;80;94;92;96;99;108;116;127;154;149;162;171;180;188;198;252;262;323;360;404;391;398;418;427
Casca;4304903;-28,5605;-51,9815;1.531;1.730;1.767;1.895;2.129;2.331;2.461;2.556;2.736;2.895;2.667;2.647;2.872;2.936;2.943;3.188;3.351;3.610;3.874;4.090;4.299;4.522;4.833;5.303;5.398;5.850;6.055;6.459
Caseiros;4304952;-28,2582;-51,6861;187;205;216;250;311;408;469;489;496;513;531;507;589;603;622;675;699;753;829;900;960;1.055;1.128;1.307;1.309;1.384;1.440;1.500
Catuípe;4305009;-28,2554;-54,0132;2.230;2.208;2.329;2.462;2.654;2.722;2.831;2.849;2.906;2.984;2.840;2.777;2.789;2.786;2.872;2.887;3.076;3.103;3.289;3.471;3.533;3.811;3.866;4.468;4.395;4.652;4.737;5.034
Caxias do Sul;4305108;-29,1629;-51,1792;140.014;142.246;147.665;156.787;175.080;192.375;207.176;219.856;227.749;237.570;223.412;227.269;225.746;227.087;231.754;239.989;268.853;282.858;302.625;320.104;334.600;341.829;370.555;390.270;379.321;393.215;386.047;403.414
Centenário;4305116;-27,7616;-51,9984;-;-;124;170;195;237;272;277;301;326;335;348;401;402;410;427;441;447;508;561;556;631;683;794;860;882;921;974
Cerrito;4305124;-31,8419;-52,8004;-;-;-;-;-;-;1.083;1.334;1.365;1.388;1.415;1.414;1.405;1.454;1.458;1.513;1.650;1.716;1.757;1.871;1.985;2.117;2.289;2.496;2.419;2.371;2.498;2.567
Cerro Branco;4305132;-29,657;-52,9406;-;-;1;-;-;-;-;-;-;...;...;...;2;9;8;9;10;12;17;10;8;11;16;13;11;11;7;8
Cerro Grande;4305157;-27,6106;-53,1672;-;-;2;...;7;...;...;...;3;3;3;3;4;3;2;2;5;7;5;7;5;3;3;3;5;8;11;15
Cerro Grande do Sul;4305173;-30,5905;-51,7418;475;508;588;610;693;773;795;770;815;868;901;979;1.049;1.136;1.200;1.233;1.406;1.510;1.578;1.695;1.812;1.910;2.063;2.241;2.067;2.094;2.224;2.293
Cerro Largo;4305207;-28,1462;-54,7428;4.794;4.520;4.352;4.306;4.625;4.885;5.161;5.181;5.384;5.293;5.128;5.152;5.099;5.038;5.225;5.328;5.452;6.039;6.797;7.247;7.475;8.069;8.341;9.728;9.442;10.153;10.524;10.936
Charqueadas;4305355;-29,9625;-51,6289;9.965;9.916;10.236;10.682;12.087;12.575;13.864;14.387;14.781;14.841;14.910;14.900;15.369;15.533;16.182;16.583;17.240;17.312;18.156;19.084;20.210;21.103;23.057;25.606;24.425;25.003;25.584;26.853
Charrua;4305371;-27,9493;-52,015;-;-;154;199;224;238;259;299;301;313;305;296;285;297;293;282;302;316;332;366;374;400;406;445;438;466;466;480
Chiapetta;4305405;-27,923;-53,9419;997;1.049;979;962;1.062;1.088;1.088;1.061;1.108;1.163;1.121;1.129;1.125;1.134;1.153;1.146;1.168;1.224;1.318;1.395;1.461;1.615;1.711;1.939;1.984;2.016;2.151;2.259
Chuí;4305439;-33,6866;-53,4594;-;-;-;-;-;-;2.383;2.979;2.712;2.984;3.070;3.032;2.824;2.673;2.578;2.287;2.453;2.518;2.630;2.952;3.298;3.544;4.029;4.504;4.584;4.767;4.726;5.009
Chuvisca;4305447;-30,7504;-51,9737;-;-;-;-;-;-;161;205;173;194;183;225;209;193;194;210;263;319;410;430;477;514;597;619;532;519;539;564
Cidreira;4305454;-30,1604;-50,2338;11.657;12.739;8.357;13.217;15.246;16.868;9.761;10.989;12.150;12.475;12.539;14.090;15.051;15.072;14.877;15.370;16.041;16.375;16.820;17.857;18.564;19.242;20.479;22.224;21.562;21.076;22.032;21.429
Ciríaco;4305504;-28,3419;-51,8741;540;558;603;613;745;757;769;797;821;848;864;900;955;969;987;1.027;1.083;1.099;1.178;1.250;1.335;1.447;1.539;1.665;1.649;1.702;1.773;1.827
Colinas;4305587;-29,3815;-51,8526;-;-;377;447;480;543;643;574;569;615;629;688;703;717;736;750;816;811;872;909;995;1.040;1.166;1.313;1.241;1.290;1.373;1.462
Constantina;4305801;-27,732;-52,9938;2.007;1.966;1.958;2.072;2.235;2.262;2.378;2.490;2.583;2.780;2.698;2.697;2.876;2.944;3.027;3.109;3.244;3.365;3.646;3.946;4.260;4.639;4.959;5.538;5.527;5.989;6.293;6.586
Coqueiro Baixo;4305835;-29,1722;-52,0989;-;-;-;-;-;-;-;-;-;-;-;39;178;203;173;167;180;205;204;221;221;240;252;266;273;279;282;290
Coronel Bicaco;4305900;-27,7197;-53,7022;1.558;1.544;1.637;1.687;1.786;1.834;1.874;1.846;1.894;1.896;1.822;1.867;1.937;1.994;2.016;2.040;2.138;2.283;2.523;2.668;2.791;2.938;3.099;3.544;3.513;3.596;3.771;3.983
Coronel Pilar;4305934;-29,2684;-51,6879;-;-;-;-;-;-;-;-;-;-;69;142;164;152;142;139;150;159;155;191;190;201;201;245;263;263;257;260
