variavel: Comercial;;;;;;;;;;;;;;;;;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Comercial;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;;;;;;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades:;MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Feliz;1422;1662;1545;1529;1772;1902;2326;2499;2662;2826;3139;3153;3343;3599;3605;3496;3769;3824;3920;4036;4463;4945;5027;5395;5044;4945;4603;4549
Flores da Cunha;1765;1891;1949;2148;2603;3212;3623;3870;4250;5144;5264;5387;5478;6250;6404;6576;7099;7584;8689;8647;9126;10862;11681;13253;12268;11822;11429;12044
Floriano Peixoto;;;;;;;;;;;;;;38;;;;;;;;;;;;;;
Fontoura Xavier;;;;;;;;;;;;;;;;;;;;;0;138;283;320;298;332;342;424
Formigueiro;224;237;271;285;305;344;365;361;501;495;480;478;514;488;563;535;530;604;715;789;829;872;882;929;880;861;888;864
Fortaleza dos Valos;268;195;248;304;334;365;433;445;477;489;451;417;443;489;533;532;507;552;607;626;704;890;873;946;915;870;833;794
Frederico Westphalen;3693;3788;4012;4383;4986;5323;5368;5639;6084;6200;6416;6585;6656;6780;6854;6975;7862;8625;9539;9842;10825;12241;12376;13766;13789;13271;13496;12605
Garibaldi;3041;3160;3250;3545;4133;4982;5428;6076;6611;7316;7299;7574;7762;8405;9350;9476;10248;10981;14899;16355;16600;15685;14820;15990;15416;17303;16001;15704
Garruchos;;;37;54;49;53;82;84;142;164;169;152;124;130;111;106;87;96;127;129;131;129;124;125;126;116;120;136
Gaurama;400;469;474;473;447;488;574;593;601;735;787;754;876;649;686;716;857;843;916;956;929;1051;1006;1092;1130;952;953;999
General Câmara;482;460;501;501;609;582;672;732;794;841;858;856;920;926;928;991;1008;1143;1232;1279;1356;1390;1307;1442;1239;1121;1147;1219
Gentil;;;23;26;31;43;56;54;61;62;76;75;94;108;107;126;161;190;228;252;275;338;367;302;244;220;202;186
Getúlio Vargas;1414;1392;1530;1617;1794;2004;2247;2482;2950;3112;3109;3098;3216;3240;3219;3301;3491;3869;4052;4290;4574;4873;5054;5689;5093;5220;5271;5309
Giruá;2092;1949;1966;2002;2173;2213;2321;2328;2356;2721;2711;2716;2761;2900;2855;3020;3576;3556;3600;3783;3964;4206;4239;4904;5196;5382;5342;4971
Glorinha;264;277;331;306;349;422;498;585;1947;21;1029;1072;1098;1069;1198;1211;1366;1493;1652;1818;1847;1740;1664;1717;1592;1495;1529;1430
Gramado;8552;8787;9802;9729;10784;11918;13423;14860;16844;18128;18339;18559;20026;22567;23893;23812;25772;28227;30817;34054;36836;41573;45283;49782;48722;50031;49653;50215
Gramado dos Loureiros;;;2;8;28;50;51;42;24;18;12;11;14;10;11;13;12;9;13;19;18;17;16;24;20;21;21;21
Gramado Xavier;;;10;;18;1;7;12;14;16;18;26;26;32;31;35;22;24;24;25;26;25;38;38;26;25;30;30
Gravataí;15066;17212;17323;18361;21347;24239;27908;31463;35402;38994;40410;41659;43822;45439;46701;48855;55461;62986;63799;67175;73337;78018;79319;91799;86483;80476;79117;78993
Guabiju;73;78;85;78;94;98;118;125;130;130;153;150;160;162;156;159;175;208;227;261;270;277;299;315;325;294;313;282
