variavel: Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades;MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;ibge;latitude;longitude;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Capão Bonito do Sul;4304622;-29,7642;-50,0282;-;-;-;-;-;-;-;-;-;-;602;753;745;807;968;1.195;1.336;1.512;1.282;1.277;1.280;1.388;1.355;1.409;1.429;1.405;1.558;1.697
Capão da Canoa;4304630;-29,6397;-49,9599;85;95;58;76;102;80;73;64;59;64;54;74;93;102;105;126;138;166;171;152;143;150;227;241;213;249;280;320
Capão do Cipó;4304655;-28,904;-54,7;-;-;-;-;-;-;-;-;-;-;-;364;1.424;1.490;1.843;1.851;2.025;2.129;2.097;2.301;2.478;2.914;2.745;3.000;2.578;2.827;2.634;3.358
Capão do Leão;4304663;-31,7565;-52,4889;20.694;6.932;7.048;7.665;8.860;7.410;8.155;7.462;8.440;7.901;6.033;5.843;6.025;7.394;8.197;8.295;8.091;9.407;7.902;9.448;10.481;10.341;9.705;11.970;12.809;13.118;12.854;14.182
Capela de Santana;4304689;-29,6961;-51,328;712;596;771;790;822;822;733;814;1.010;985;1.059;1.108;1.193;1.280;1.449;1.489;1.627;1.733;1.757;1.902;2.070;2.116;2.097;2.194;1.873;1.921;2.000;2.052
Capitão;4304697;-29,2674;-51,9853;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;65;98;98;96;108;127;145;148;187;190;214;200;195
Capivari do Sul;4304671;-30,1382;-50,5151;-;-;-;-;-;-;1.663;7.040;7.930;8.984;6.156;6.933;7.100;8.104;10.330;9.925;9.936;10.946;11.293;11.869;12.166;12.708;12.637;14.180;12.914;12.928;13.013;14.410
Caraá;4304713;-29,7869;-50,4316;-;-;-;-;-;-;1.168;2.252;2.447;2.855;2.813;2.980;3.125;3.251;3.438;3.603;3.762;3.747;3.919;4.107;4.109;4.255;4.407;4.778;4.637;4.878;5.427;5.207
Carazinho;4304705;-28,2958;-52,7933;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;-;-;0;0;0
Carlos Barbosa;4304804;-29,2969;-51,5029;7.083;7.462;9.624;13.398;13.611;11.317;12.429;11.182;4.528;5.213;6.683;6.791;7.038;7.113;7.322;8.601;9.264;8.622;8.482;7.440;6.912;7.149;5.866;6.452;6.298;6.887;7.534;7.386
