variavel: Industrial;;;;;;;;;;;;;;;;;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Industrial;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;;;;;;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades;MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Dom Pedro de Alcântara;;;;;;;39;72;74;69;56;36;39;23;26;25;29;51;2253;5697;630;1291;2012;620;616;543;417;401
Doutor Maurício Cardoso;274;327;421;503;460;411;411;474;506;475;548;518;236;333;209;201;39;131;111;113;106;63;40;36;37;38;49;56
Doutor Ricardo;;;;;;;75;77;127;144;138;193;245;285;444;605;606;659;721;827;918;1053;1259;1471;1345;1419;1371;1400
Eldorado do Sul;50657;47291;41047;49955;53612;57026;59801;58221;56498;56897;52758;54003;42167;40741;40400;38488;38747;36128;37840;41468;40007;38233;38282;38022;36116;29591;16633;15790
Encantado;15945;16731;18325;18173;19867;20840;21989;24517;26061;25773;26999;28209;26480;29553;29514;31628;35150;34896;34847;36366;35880;39067;41995;45105;46251;45389;45390;49026
Encruzilhada do Sul;807;641;1099;1543;1728;2009;2623;3302;4421;3267;1506;1823;1836;1819;1781;1841;1235;1447;1025;1190;1389;1138;1243;1330;1239;2415;3568;3340
Engenho Velho;;;;;;;;;;3;43;108;154;143;88;67;58;77;88;81;69;51;5;25;51;48;59;69
Entre Rios do Sul;131;50;67;64;55;54;77;94;115;101;73;79;91;81;85;123;149;212;190;147;152;146;148;145;155;156;164;167
Entreijuís;284;498;448;355;348;396;385;453;302;275;369;481;519;493;358;309;360;318;218;257;242;160;223;210;195;191;217;89
Erebango;487;497;528;497;658;686;606;714;578;623;726;795;1211;1417;1208;1170;1286;1209;1027;1031;1013;1437;1211;1386;1233;769;858;765
Erechim;26493;26227;31150;38064;43385;48159;52739;58965;63203;70750;67947;71516;75661;76599;78901;80468;91466;100983;89254;88239;105379;105189;119709;133782;125687;123847;129517;116820
Ernestina;551;148;151;179;181;180;202;267;253;249;345;330;362;367;296;203;66;81;89;83;87;70;71;72;79;94;77;74
Erval Grande;309;221;154;71;78;97;106;92;113;205;193;396;524;502;1257;999;1039;1462;1303;1522;1565;1271;1201;1188;920;839;1018;866
Erval Seco;392;286;176;183;243;211;228;234;275;285;296;282;686;380;307;296;456;242;420;491;488;287;350;349;309;281;277;255
Esmeralda;209;121;107;77;78;81;99;149;152;142;168;214;214;174;146;137;217;178;124;61;54;48;128;187;235;214;76;75
Esperança do Sul;;;;;;;35;44;47;42;51;71;83;84;77;69;64;42;110;311;620;752;776;1328;1604;1184;1078;1184
Espumoso;723;832;919;1092;1273;1365;1434;1834;1949;2243;2796;2927;2897;2615;2660;2921;3277;3388;2896;2793;2877;3269;3804;3683;3935;3901;4123;4099
Estação;5660;4214;4588;5045;5240;5763;6250;6857;6872;7273;7009;7004;7621;7905;8286;8240;7682;6844;5781;4848;6293;7265;7882;8445;8613;8784;8966;8913
Estância Velha;61442;64540;66976;69482;62899;65071;67231;64590;66242;71968;67447;70310;72596;78307;84754;80340;71581;57744;50281;58565;57630;51942;51858;48782;43074;38503;38402;37897
Esteio;114630;111956;126447;145066;157161;163562;158789;165065;178615;179098;189472;185688;186002;187953;181906;187449;107460;110838;102316;105670;110042;159842;162008;163495;148615;136350;140807;137093
Estrela;24428;20620;19453;22341;21299;29389;30940;32709;31704;27338;33022;31446;26938;26478;24603;24183;26790;25425;28712;45623;47523;49403;44590;42329;39477;42619;45768;46291
Estrela Velha;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Eugênio de Castro;110;143;132;166;183;160;156;196;177;178;278;284;245;190;177;160;105;160;138;163;149;143;115;20;37;11;10;9
Fagundes Varela;368;340;444;531;464;466;634;770;1127;1319;1260;1599;1731;1779;1569;1915;1960;1967;1880;2142;2330;2360;2534;2665;2575;2446;2405;2351
Farroupilha;64016;71281;80905;82595;80035;79937;72154;61433;64436;72037;73454;75110;78783;85918;85512;87684;96752;118678;109219;87987;134992;128577;135111;134809;133902;136382;142551;147228
Faxinal do Soturno;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Faxinalzinho;293;398;471;374;400;321;271;217;204;172;78;91;100;95;78;76;96;2070;1562;111;66;57;61;51;71;74;85;83
Fazenda Vilanova;;;;;;;304;393;627;821;1092;1609;2999;4457;4911;7450;9585;10636;11964;10712;10295;10418;8462;8643;8008;2462;1782;1786
Feliz;13149;11251;9632;10303;11273;11631;10844;10744;9385;7044;6629;6014;6315;6181;11090;12084;12314;13871;14651;19964;24193;23375;26665;28997;26208;26227;26019;23699
Flores da Cunha;11942;14520;17361;16777;17516;18665;21424;25786;32943;36989;37011;38692;38952;41754;38845;39352;38760;36508;34967;38276;45282;56926;63824;68912;69048;66694;72920;76371
Floriano Peixoto;;;;;;;;;;;;;;30;;;;;;;;;;;;;;
Fontoura Xavier;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Formigueiro;284;445;554;611;746;823;845;674;1015;1016;906;937;739;905;959;1101;1173;1337;2354;2008;2857;2444;2465;2550;2654;2545;3062;3155
Fortaleza dos Valos;467;513;481;464;522;465;576;764;519;452;522;532;563;412;479;389;426;422;356;341;264;93;89;84;65;60;69;75
Frederico Westphalen;5988;6054;6794;7188;7631;7310;1972;2251;2759;3384;4237;7746;9683;10797;11984;14633;17981;19381;21122;18851;23568;21615;22919;25159;27006;27816;25620;23311
Garibaldi;22003;23868;26396;29894;33579;36499;38549;41392;46303;52823;52872;55715;58561;66478;69646;68741;76975;89396;84959;64706;103318;100014;109493;114999;114769;110589;104385;106680
Garruchos;;;2;;82;86;108;169;541;550;514;338;149;110;145;140;173;188;158;174;215;206;237;228;219;260;281;245
Gaurama;668;716;719;650;699;807;793;392;438;669;854;939;1485;2442;3297;3126;4099;5177;5437;5565;6188;5768;7030;6486;5336;6321;6709;6643
General Câmara;230;373;386;574;887;367;168;154;181;202;144;107;100;70;79;57;119;70;53;53;39;63;40;53;32;34;23;19
Gentil;;;15;27;25;21;26;24;28;34;36;46;63;61;47;72;66;60;51;53;55;56;59;62;62;51;50;67
Getúlio Vargas;8230;5508;6250;7257;8541;7308;8885;9141;9480;8314;5883;5755;5793;6014;6338;6810;7460;7081;5217;5690;6226;6563;6388;6879;6532;6069;6554;6686
Giruá;1317;1888;4485;5985;6977;6253;6677;7062;6620;2253;3994;4545;3727;3573;3825;4477;3935;5244;5030;5941;5690;4576;4240;3450;3852;4136;4714;5419
Glorinha;229;261;303;428;507;576;505;584;669;929;1015;1322;1721;1471;1842;2227;2057;2219;1971;2111;2258;2412;2575;2637;2083;1933;1658;1734
Gramado;8644;9426;10787;11749;12389;12106;13306;12128;13488;15073;15862;15867;16166;17754;19378;19466;21265;21891;20085;22600;23699;22712;23653;23312;22636;20429;18718;17442
Gramado dos Loureiros;;;;;;;;;;;;;;;;6;4;;;;0;0;0;;;0;0;0
Gramado Xavier;;;20;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Gravataí;177171;186779;203864;230742;252986;259833;270626;272562;274720;365824;397411;398453;391905;421766;423922;322454;495133;485304;444344;292931;505235;479010;548461;530388;472568;438366;469859;485045
Guabiju;40;40;44;53;62;61;74;70;72;87;96;320;601;590;668;640;873;1123;1196;1194;991;901;978;1049;1039;847;1222;1313
Guaíba;50089;60444;70441;67478;68933;77793;83129;118411;138616;179648;162964;220553;217311;178415;134248;66855;58498;38004;36338;38539;36003;20424;14531;19904;19490;15185;15473;14037
